sl no,gender,faculty,Enter Your Location,kind of books preffered for study,How Frequently do you visit library,For what Purposes do yo visit library,Average Time spent in collage,What is general Purposes,Which one is your Prefered location ,What is your preferred time?,Preferred language for Learning,Preferred type for reading,Do you enjoy the Reading,Which mode of learning /,Dose Covid Pandemic Ch,How do you study before collage,How do you study after Collage,Do you aware about Nati,Do you Using National di,Dose Covid 19 Pandemic Affected Your Reading Habits,Do you purchase Books from store,Average Expenditure on books,Occupation Of Father,Parents Education,Select your Faculty,Enter your Location,Preferred Language for Learning,Do you Using National dig
170,Female,Science,Rural,Text Books,Once in a month,To borrow library material,s Less than an hour,To get the knowledge and,Home,Late Night,English,Stories and novels,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,Yes
171,Male,Science,Rural,Reference Books,Once in a week,To Read Daily News Pap,e Less than an hour,To get the knowledge and,Other Places,Morning,English,New Paper,Just okay,Hard copy of Reading ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No
172,Male,Science,Rural,Other,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Afternoon,English,Stories and novels,Very much,soft copy of Reading mat e,No,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,Hindi,No
173,Female,Science,Rural,Reference Books,Once in a month,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,English,Journal articles,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
174,Male,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s 6 and Above,To Pass the examination,Park or Garden,Morning,English,Magazines,Very much,Hard copy of Reading ma,No,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Commerce,Urban,English,Yes
175,Female,Science,Rural,Lecture Videos,Once in a week,Other,Less than an hour,To Pass the examination,Home,Evening,English,Competitive books,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
176,Male,Science,Rural,Reference Books,2-3 times in a week,To Complete Assignment,2-4 hours,To get the knowledge and,Central Library,Late Night,English,Competitive books,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Watching Lecture Videos,Yes,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Urban,English,Yes
177,Male,Science,Rural,Class Notes,Once in a week,To borrow library material,s 2-4 hours,To increase General Kno,w Home,Morning,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Rural,English,Yes
178,Male,Science,Rural,Text Books,Daily,To Read Daily News Pap,e 5-6 hours,To Pass the examination,Central Library,Morning,English,Magazines,Enjoyable,soft copy of Reading mat e,No,Watching Lecture Videos,Reading Books in Library,No,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No
179,Female,Science,Rural,Reference Books,Once in a month,To borrow library material,s Less than an hour,For Career Development,Home,Morning,English,Reference books,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
180,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Morning,English,New Paper,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Watching Lecture Videos,No,No,Yes - Negatively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,No
181,Male,Science,Rural,Reference Books,Once in a month,To Read Daily News Pap,e Less than an hour,To be well informed,Home,Morning,English,New Paper,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading Books in Library,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,No
182,Female,Science,Rural,Other,Once in a week,Other,2-4 hours,To get the knowledge and,Other Places,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
183,Female,Science,Rural,Reference Books,Once in a week,To Complete Assignment,Less than an hour,To get the knowledge and,Class Room,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,No,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Urban,English,No
184,Female,Science,Rural,Reference Books,Once in a week,To Complete Assignment,2-4 hours,To get the knowledge and,Home,Late Night,English,Magazines,Very much,soft copy of Reading mat e,No,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Rural,English,Yes
185,Female,Science,Rural,Lecture Videos,Once in a week,To borrow library material,s 2-4 hours,To be well informed,Home,Late Night,English,Text books,Enjoyable,Hard copy of Reading Ma,No,Reading books in library,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,Yes
186,Female,Science,Rural,Text Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Morning,English,New Paper,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,Marathi,No
187,Female,Science,Rural,Reference Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,College Lab,Morning,English,New Paper,Just okay,Hard copy of Reading Ma,Yes,Watching Lecture Videos,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
188,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Park or Garden,Morning,English,Competitive books,Enjoyable,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No
189,Female,Science,Rural,Lecture Videos,2-3 times in a week,To photo copy reading ma,2-4 hours,For Career Development,Central Library,Morning,English,Reference books,Enjoyable,soft copy of Reading mat e,No,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,Yes
190,Female,Science,Rural,Class Notes,Once in a week,To Complete Assignment,2-4 hours,For Career Development,Park or Garden,Morning,English,Stories and novels,Very much,Hard copy of Reading Ma,No,Reading books in library,Reading Books in Library,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
191,Female,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s Less than an hour,For Career Development,Home,Late Night,English,Competitive books,Very much,soft copy of Reading mat e,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes
192,Female,Science,Rural,Lecture Videos,Daily,To Read Daily News Pap,e 2-4 hours,For Career Development,Central Library,Morning,English,Competitive books,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Watching Lecture Videos,Yes,No,No - Positively Affected,Yes,Above Rs. 2000,Farmer,Educated,Science,Urban,English,Yes
193,Male,Science,Rural,Reference Books,2-3 times in a week,To Complete Assignment,5-6 hours,To get the knowledge and,College Lab,Evening,English,Reference books,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Not Affected,Yes,Above Rs. 2000,Farmer,Educated,Science,Urban,English,Yes
194,Male,Science,Rural,Reference Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Central Library,Morning,English,Competitive books,Very much,Hard copy of Reading Ma,No,Reading books in library,Reading Books in Library,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes
195,Male,Science,Rural,Lecture Videos,Rarely,To borrow library material,s Less than an hour,To get the knowledge and,Home,Morning,English,Competitive books,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
196,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Home,Late Night,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading books in library,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,No
197,Female,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Morning,English,New Paper,Very much,Hard copy of Reading Ma,No,Reading books in library,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes
198,Female,Science,Rural,Reference Books,Rarely,To photo copy reading ma,2-4 hours,To get the knowledge and,College Lab,Morning,English,Stories and novels,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,Yes
199,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,To be well informed,Home,Morning,English,Journal articles,Very much,Hard copy of Reading Ma,No,Reading soft copy of boo,Reading Books in Library,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
200,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Class Room,Evening,English,Text books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library,Reading soft copy of boo k,No,No,No - Positively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Urban,Marathi,No
201,Female,Science,Rural,Class Notes,2-3 times in a week,To Read Daily News Pap,e Less than an hour,To get the knowledge and,Central Library,Afternoon,English,Text books,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes
202,Female,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Morning,English,Competitive books,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
203,Female,Science,Rural,Reference Books,Once in a month,For Reading Novels and,g Less than an hour,To increase General Kno,w Park or Garden,Afternoon,English,Stories and novels,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Urban,Marathi,No
204,Female,Science,Rural,Reference Books,Rarely,To borrow library material,s Less than an hour,To get the knowledge and,Class Room,Late Night,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Watching Lecture Videos,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No
205,Female,Science,Rural,Reference Books,Once in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Late Night,English,Magazines,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library,Watching Lecture Videos,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No
206,Male,Science,Rural,Text Books,2-3 times in a week,To borrow library material,s 2-4 hours,To Pass the examination,Home,Morning,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Watching Lecture Videos,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
207,Female,Science,Rural,Class Notes,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
208,Female,Science,Rural,Class Notes,Once in a month,For Reading Novels and,g 2-4 hours,To be well informed,Home,Morning,English,New Paper,Enjoyable,Hard copy of Reading Ma,No,Reading books in library,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No
209,Female,Science,Rural,Reference Books,Once in a month,To borrow library material,s Less than an hour,For Career Development,Class Room,Morning,English,New Paper,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
210,Female,Science,Rural,Class Notes,Rarely,To borrow library material,s Less than an hour,To get the knowledge and,Home,Afternoon,English,New Paper,Just okay,Hard copy of Reading Ma,No,Reading books in library,Reading Books in Library,No,No,No - Positively Affected,No,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No
211,Male,Science,Rural,Text Books,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Morning,English,Competitive books,Enjoyable,Hard copy of Reading Ma,No,Reading soft copy of boo,Reading Books in Library,Yes,No,Yes - Negatively Affected,Yes,Above Rs. 2000,Farmer,Educated,Science,Urban,English,No
212,Female,Science,Rural,Class Notes,Daily,To Complete Assignment,2-4 hours,For Career Development,Class Room,Morning,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading Books in Library,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Urban,English,No
213,Female,Science,Rural,Text Books,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,College Lab,Evening,English,Stories and novels,Just okay,Hard copy of Reading ma,No,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Urban,Marathi,No
214,Female,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,2-4 hours,To get the knowledge and,Home,Late Night,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo,Reading Books in Library,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
215,Female,Science,Rural,Class Notes,Once in a month,To borrow library material,s Less than an hour,To increase General Kno,w Home,Afternoon,English,Others,Enjoyable,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Urban,English,Yes
216,Female,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s Less than an hour,For Career Development,Home,Evening,English,Competitive books,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Urban,English,No
217,Female,Science,Rural,Text Books,Daily,For Reading Novels and,g 2-4 hours,For Career Development,Central Library,Evening,English,Journal articles,Enjoyable,Hard copy of Reading Ma,No,Reading books in library,Watching Lecture Videos,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,Marathi,No
218,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g 2-4 hours,To get the knowledge and,Park or Garden,Morning,English,Competitive books,Very much,Hard copy of Reading ma,No,Reading books in library,Reading soft copy of boo k,No,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
219,Female,Science,Rural,Class Notes,Once in a week,Other,Less than an hour,To increase General Kno,w College Lab,Morning,English,Stories and novels,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading Books in Library,No,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,Yes
220,Female,Science,Rural,Class Notes,Once in a week,Other,2-4 hours,To increase General Kno,w College Lab,Morning,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Watching Lecture Videos,No,No,No - Positively Affected,No,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
221,Female,Science,Rural,Reference Books,Once in a month,Other,Less than an hour,To get the knowledge and,Central Library,Morning,English,Stories and novels,Very much,soft copy of Reading mat e,No,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
222,Male,Science,Rural,Class Notes,Daily,To borrow library material,s 6 and Above,To increase General Kno,w College Lab,Morning,English,Others,Very much,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,Marathi,Yes
223,Female,Science,Rural,Text Books,Once in a week,For Reading Novels and,g Less than an hour,For Career Development,Other Places,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,Hindi,Yes
224,Male,Science,Rural,Reference Books,Daily,For Reading Novels and,g 6 and Above,To increase General Kno,w Park or Garden,Morning,English,Magazines,Very much,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Above Rs. 2000,Farmer,Educated,Science,Rural,English,Yes
225,Female,Science,Rural,Text Books,Once in a week,To use the internet,2-4 hours,To increase General Kno,w Park or Garden,Morning,English,Reference books,Very much,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Watching Lecture Videos,Yes,No,No - Positively Affected,No,Less Than Rs. 500,Farmer,Educated,Arts,Rural,Marathi,Yes
226,Female,Science,Rural,Class Notes,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Class Room,Morning,English,Text books,Just okay,Hard copy of Reading ma,Yes,Reading soft copy of boo,Reading Books in Library,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Educated,Arts,Urban,English,Yes
227,Male,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To increase General Kno,w Class Room,Morning,English,Magazines,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading Books in Library,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,other,Rural,English,Yes
